methane,lpg,co,air_quality,flame_val,dht22_temp,humidity,status
3372,3477,3394,898,4043,25,58,2
243,401,106,158,4030,31,63,0
320,293,163,398,4029,24,64,0
297,271,201,288,4013,29,57,0
181,290,147,475,3981,26,53,0
311,252,179,430,3971,22,58,0
3423,3246,2938,914,4028,29,54,2
298,288,173,192,4028,32,53,0
587,640,1387,2811,517,69,36,1
292,315,55,552,3979,25,43,0
308,350,155,275,3894,31,54,0
224,292,115,294,4022,28,75,0
295,290,203,248,3898,24,62,0
273,247,108,446,3927,24,71,0
271,374,129,662,3945,25,53,0
351,281,154,440,3974,25,63,0
360,304,129,410,4057,23,64,0
232,287,189,480,3971,30,60,0
258,274,178,387,4074,28,68,0
2799,3354,2794,483,3910,27,58,2
2517,3629,2246,814,3985,23,51,2
331,319,190,407,4058,27,50,0
335,255,149,379,3996,23,43,0
325,382,169,359,4057,22,71,0
384,256,210,311,3986,28,53,0
365,240,157,408,4045,24,51,0
222,346,116,356,4017,35,71,0
256,199,60,582,3969,31,54,0
341,255,157,322,4073,24,64,0
320,276,161,463,3990,29,45,0
735,585,1328,3407,482,69,17,1
396,323,160,409,3993,24,65,0
243,232,157,496,3997,27,71,0
143,253,116,333,4024,27,61,0
275,377,132,362,4000,21,51,0
274,274,156,356,3992,24,65,0
315,363,115,349,4065,27,57,0
341,210,203,420,4030,35,52,0
658,550,1318,3178,289,66,14,1
334,311,163,383,4033,26,60,0
370,261,145,229,3925,32,54,0
325,389,146,358,4019,28,69,0
279,279,129,457,4037,25,70,0
304,316,170,450,3929,25,57,0
323,288,177,429,4095,25,65,0
222,337,105,431,3976,23,58,0
364,353,159,438,3941,25,48,0
300,258,149,324,4040,31,77,0
200,311,172,527,4038,26,55,0
3242,2830,1825,784,4030,17,59,2
309,344,162,353,4018,28,64,0
343,371,148,410,3943,28,50,0
2634,3047,3065,764,3993,31,71,2
308,308,200,432,4059,26,52,0
282,223,161,252,4064,31,36,0
258,236,189,378,4046,27,67,0
325,280,162,455,4046,26,47,0
344,291,133,312,3956,25,70,0
340,284,155,534,4034,30,70,0
3866,3522,3166,712,4095,26,45,2
303,234,137,389,4029,27,64,0
226,188,201,677,4041,27,87,0
258,319,166,298,4085,29,58,0
236,368,136,413,3951,30,81,0
330,294,155,419,3932,26,53,0
290,249,186,450,4010,24,59,0
421,374,135,487,4013,28,60,0
240,272,102,324,3985,28,51,0
371,290,136,327,4019,27,58,0
301,342,146,408,4095,28,50,0
2819,3185,2071,851,3967,27,63,2
294,317,154,363,3982,29,54,0
667,453,1314,2808,236,61,23,1
266,271,164,187,3966,26,65,0
170,326,170,392,3947,32,70,0
318,221,96,430,4079,24,61,0
302,419,175,322,4041,27,68,0
252,336,106,374,4022,26,70,0
226,390,159,355,4016,26,66,0
354,301,132,242,4024,27,58,0
372,312,126,140,4006,27,62,0
322,296,156,351,4021,23,63,0
254,362,127,382,3920,26,38,0
283,262,112,271,4013,32,56,0
258,225,90,409,4039,30,72,0
342,242,183,395,3986,28,77,0
3466,2882,2262,777,4095,22,44,2
370,184,178,537,3983,25,48,0
2865,3459,2781,635,4015,24,46,2
385,232,146,292,3915,28,68,0
3169,3311,2728,937,4058,26,71,2
3375,3500,3195,719,3929,29,56,2
383,329,163,457,4046,28,55,0
358,314,188,444,4000,28,47,0
263,230,139,348,4013,24,46,0
241,254,142,392,4003,32,64,0
192,365,168,444,3921,28,73,0
548,432,1960,3124,122,68,43,1
3029,2403,2888,784,4026,29,66,2
519,683,1326,2872,464,65,26,1
299,270,123,504,3929,27,63,0
326,273,132,424,4077,26,80,0
373,381,111,552,3931,24,46,0
331,243,167,255,3947,23,61,0
270,290,206,343,4095,30,55,0
279,200,183,370,3915,26,63,0
2946,2883,2688,723,4093,25,82,2
2867,2892,2595,761,3978,26,54,2
206,286,188,623,4054,29,49,0
255,342,129,242,3956,27,71,0
2821,2479,2373,1011,4045,29,65,2
285,277,138,349,4068,30,47,0
324,291,162,527,3970,27,59,0
343,349,154,587,3970,27,64,0
288,304,193,468,4035,32,68,0
188,341,113,476,3980,28,72,0
281,372,181,566,4039,29,66,0
256,347,226,544,3957,30,51,0
319,300,171,455,3987,26,52,0
283,252,158,499,3917,29,74,0
271,254,211,426,4072,30,53,0
361,377,136,330,3998,27,74,0
298,302,100,492,3972,26,61,0
223,442,181,293,4082,26,66,0
259,278,181,454,3983,27,49,0
309,287,134,237,4001,30,65,0
